epoch,lr,loss,train_acc,val_loss,val_acc,val_recall_bad,val_precision_bad,val_f1_bad
0,0.001,0.4479090806739084,0.8183189655172414,0.4450922687925269,0.8123791102514507,0.04901960783833141,0.9999999980000001,0.09345794301685738
1,0.001,0.36703599717082647,0.85625,0.3811464820424639,0.8239845261121856,0.1078431372443291,0.999999999090909,0.19469026369488607
2,0.001,0.32544673187979334,0.8640086206896552,0.33610285631231457,0.8433268858800773,0.2156862744886582,0.9565217387145557,0.3519999969408
3,0.001,0.29711738526821135,0.8790948275862069,0.3694853703104089,0.839458413926499,0.7941176469809689,0.5664335663939557,0.661224484881966
4,0.001,0.2743647198738723,0.8864224137931035,0.25506222617003627,0.8994197292069632,0.8529411763869666,0.7016129031692248,0.7699114994040255
5,0.001,0.20857897724570898,0.9189655172413793,0.266144310194473,0.8839458413926499,0.4313725489773164,0.9565217389224953,0.594594590230095
6,0.001,0.20448519058268647,0.9193965517241379,0.12090933360375565,0.9671179883945842,0.9313725489282969,0.904761904675737,0.9178743910476326
7,0.001,0.1507842796244498,0.9450431034482759,0.08550913437365103,0.9709864603481625,0.9215686273606306,0.9306930692147829,0.9261083692931157
8,0.001,0.13377566561745158,0.9508620689655173,0.08727780346194826,0.965183752417795,0.8529411763869666,0.9666666665592594,0.9062499949251303
9,0.001,0.11515870242668637,0.9592672413793103,0.07790155444344653,0.9748549323017408,0.8823529410899654,0.9890109889023065,0.9326424819662273
10,0.001,0.12834168617966873,0.9536637931034483,0.08496237389123647,0.9690522243713733,0.8431372548193004,0.999999999883721,0.9148936119601632
11,0.001,0.09566671820036296,0.9698275862068966,0.07052081135935663,0.9787234042553191,0.9509803920636294,0.9417475727241023,0.9463414583224272
12,0.001,0.0885032050568482,0.9726293103448276,0.12958573039830076,0.9535783365570599,0.9803921567666283,0.8196721310803547,0.8928571378172833
13,0.001,0.08451939548911719,0.9706896551724138,0.1911099877846166,0.9245647969052224,0.9901960783342946,0.7266187049836964,0.8381742689072158
14,0.001,0.06920726444925471,0.9775862068965517,0.05632759180150537,0.9845261121856866,0.9215686273606306,0.9999999998936171,0.9591836683798418
15,0.001,0.07840351967526407,0.9741379310344828,0.053958849015878066,0.988394584139265,0.9803921567666283,0.961538461446006,0.970873781313979
16,0.001,0.0829912249930203,0.9739224137931034,0.13179236522927967,0.9497098646034816,0.7450980391426375,0.9999999998684211,0.853932579280394
17,0.001,0.06836317613528206,0.9782327586206897,0.45535921428633613,0.8452611218568665,0.9999999999019609,0.5604395604087671,0.7183098545010911
18,0.001,0.07188585075421323,0.9769396551724138,0.058622943118531654,0.9806576402321083,0.9509803920636294,0.9509803920636294,0.9509803870636294
19,0.001,0.07604373857571647,0.9765086206896552,0.19975817609646823,0.9381044487427466,0.6862745097366398,0.9999999998571429,0.813953483450514
20,0.001,0.06782544764593758,0.9786637931034483,0.07128503958638793,0.9806576402321083,0.901960784225298,0.9999999998913044,0.9484536031629293
21,0.001,0.07621110187971901,0.9767241379310345,0.07422922046159752,0.97678916827853,0.8823529410899654,0.999999999888889,0.9374999949218751
22,0.001,0.06283210309800402,0.98125,0.05453095142504406,0.988394584139265,0.9411764704959632,0.9999999998958334,0.969696964603612
23,0.001,0.053308256717141844,0.9836206896551725,0.07563406502831604,0.97678916827853,0.970588235198962,0.9166666665817902,0.9428571377714287
24,0.001,0.0542635973558986,0.9844827586206897,0.06584634378910915,0.9825918762088974,0.9117647057929643,0.9999999998924732,0.9538461487589746
25,0.001,0.05103796895689749,0.9831896551724137,0.07217828332260971,0.9787234042553191,0.9901960783342946,0.9099099098279361,0.9483568024316164
26,0.001,0.045188399858708525,0.9875,0.06081195270401251,0.9845261121856866,0.9215686273606306,0.9999999998936171,0.9591836683798418
27,0.001,0.043237043649022436,0.9872844827586207,0.08835591680601751,0.9729206963249516,0.970588235198962,0.8999999999181819,0.9339622590699539
28,0.001,0.05357934641330663,0.9825431034482759,0.08477925929345363,0.9787234042553191,0.8921568626576317,0.99999999989011,0.9430051762656717
29,0.001,0.044922227618396926,0.9877155172413793,0.05299922811386231,0.988394584139265,0.970588235198962,0.970588235198962,0.970588230198962
30,0.001,0.051689590561878065,0.9846982758620689,0.07964828373198676,0.9806576402321083,0.901960784225298,0.9999999998913044,0.9484536031629293
31,0.001,0.0618520500026001,0.98125,0.16083490358105126,0.9284332688588007,0.9901960783342946,0.7372262773184506,0.8451882795553299
32,0.001,0.053218638982045756,0.9821120689655173,0.05002603767983745,0.9825918762088974,0.9117647057929643,0.9999999998924732,0.9538461487589746
33,0.001,0.04284357602932844,0.9868534482758621,0.06920435520916245,0.9748549323017408,0.970588235198962,0.9082568806506187,0.9383886205089734
34,0.001,0.0541656174536409,0.9849137931034483,0.03072031949443213,0.9941972920696325,0.970588235198962,0.9999999998989899,0.985074621768768
35,0.001,0.03901204672353021,0.9898706896551724,0.042528970353485476,0.9864603481624759,0.970588235198962,0.9611650484503724,0.9658536534424749
36,0.001,0.0392831020627235,0.9892241379310345,0.0397675807035674,0.9864603481624759,0.9607843136312957,0.9702970296069013,0.965517236284307
37,0.001,0.03279065470419953,0.9922413793103448,0.04874955246907729,0.988394584139265,0.9411764704959632,0.9999999998958334,0.969696964603612
