epoch,lr,loss,seg_loss,cls_loss,iou,val_loss,val_seg_loss,val_cls_loss,val_iou,val_dice,val_recall_bad,val_precision_bad,val_accuracy
0,0.001,1.4967723531382424,1.0916723098073686,0.8102000845330102,0.004934392823365185,1.3294098564222747,1.0149308279448865,0.6289580627983692,0.31372549029139357,0.31372549038670877,0.5294117646539793,0.7499999998958334,0.6764705882021338
1,0.001,1.280176660844258,0.9951655800853457,0.5700221455522946,1.3093695232903204e-10,1.2865393442266129,0.9997481388204238,0.5735824458739337,0.31372549029139357,0.31372549038670877,0.656862745033641,0.7052631578204986,0.691176470554354
2,0.001,1.2472058619771684,0.9791593147175652,0.5360930945192065,1.3073532348005977e-10,1.230123812077092,0.9790268598818311,0.5021939306866889,0.31372549029139357,0.31372549038670877,0.7156862744396386,0.729999999927,0.7254901960428681
3,0.001,1.1826380065509252,0.9608594604900905,0.4435571027653558,5.109716771308583e-05,1.4142758332046808,0.9617674233866673,0.9050167869119083,0.3137509369477197,0.3137763802231525,0.09803921567666282,0.9999999989999999,0.5490196078162245
4,0.001,1.0803368943078178,0.8663008894239154,0.4280719831585884,0.22042350826648385,0.9915699257570154,0.7849075677348119,0.41332470085106643,0.28666140909126664,0.4038298735478206,0.8235294116839678,0.7567567566885806,0.7794117646676758
5,0.001,0.9472788912909371,0.7563989205019814,0.38175995115722927,0.40783763006922513,1.2059786985902226,0.7832381888931873,0.8454810204166993,0.2621349311574166,0.3747283678282841,0.9999999999019609,0.6144578312882857,0.6862745097702806
6,0.001,0.91713547706604,0.7347748726606369,0.36472120029585703,0.43499672724729926,0.9265411823403602,0.7393061168053571,0.37447016759246005,0.3218225841393799,0.4379427226438066,0.6470588234659747,0.9166666665393519,0.7941176470198962
7,0.001,0.8788562353168216,0.7191031170742852,0.3195062332919666,0.4635771851230271,0.8554093568932777,0.7171816089574028,0.27645547162084017,0.35837378291540445,0.4698340376445539,0.9803921567666283,0.8474576270468257,0.9019607842695117
8,0.001,0.8662743185247693,0.7142827276672635,0.30398318118282724,0.48326590464477837,0.9101072818625207,0.7513161570418114,0.31758227564540564,0.32329673468476616,0.4385470811898127,0.8137254901163015,0.9325842695581367,0.8774509803491445
9,0.001,0.8505663062844958,0.7154984112296786,0.27013578212686945,0.48271259178990317,0.9945661846329185,0.7955335916257372,0.3980651670957313,0.2615181613950581,0.3764580992769808,0.9999999999019609,0.7669172931754197,0.848039215644704
10,0.001,0.8150989264249802,0.7037065263305392,0.2227848076394626,0.4952974960903109,0.7868911588893217,0.693285114624921,0.18721211482496822,0.3826196419913574,0.4898586486123825,0.9509803920636294,0.9417475727241023,0.9460784313261726
11,0.001,0.814812890120915,0.699069218976157,0.231487331113645,0.5059624555313676,0.8563764890034994,0.7148884043974035,0.2829762101173401,0.34537141798948856,0.45866259411734567,0.7156862744396386,0.9864864863531776,0.8529411764287773
12,0.001,0.8057764108691897,0.6978412164109093,0.2158703955688647,0.5069702677559195,0.9102422010664847,0.7440340559856564,0.332416292864318,0.306260919858794,0.4211264594725106,0.9999999999019609,0.7611940297939407,0.8431372548606305
